力荐	,金智英已经算是在韩国这个男权社会拿到上上签的女性了吧！原生家庭就很好了，父亲那种只是轻微的重男轻女，并不是刻意的对女儿不好。有个能干的妈妈，有个女权姐姐，弟弟也不错。所以她遇到了孔侑这样的好丈夫就结婚生子了。金智英也没有遇到婆家逼迫赶紧要生个男孩儿，不生出男孩儿就不领证，也没有跟婆婆住在一起。更没有遭遇丈夫孕期出轨，更没有家暴，丈夫更是要自己来休假让妻子去上班，这个在中韩现实环境中几乎都是不可能出...
还行	,所以韩国男性对这片生气的原因是啥呢？孔侑扮演的老公太完美了吗？
力荐	,论为什么韩国的出生率突破了0
力荐	,没想到，看到智英变为外婆和母亲对话，眼泪就下来了。东亚三国手牵手，谁先平权谁是狗。
力荐	,在电影院哭成泪人。电影比小说更加丰满，其实男性跟女性一样被困在传统偏见的桎梏中，电影中已经展现了当代年轻男性对女性困境的共情与理解，但是老一代两班们真心没救。PS：看来男性洗碗和育儿在南韩依然不被接受。
力荐	,我在hk看的。听到了后面的掌声，有点害怕。
推荐	,完全不是超英片，就是一个以普通底层小市民为主角的犯罪片，大概也是这些年漫威DC所有电影里人性剖析最深刻的一部。影片对哥谭市有着出色的氛围营造，阴暗潮湿的道路，满目垃圾的街头，一触即发的暴动气息，这样的环境，再加上悲惨的身世、糟糕的一天，足以把一个老实的可怜人逼向深渊，从理性善良一点点变得麻木和疯癫，每一步转变都真实可信。杰昆·菲尼克斯瘦骨嶙峋的样子让人心疼，毫无疑问，影帝级的表演，“希斯·莱杰后再...
力荐	,#Venezia 12“希斯·莱杰之后无小丑“这个论述终于是被打破了。这是当代电影史的光荣日。
力荐	,這不是一部好的「小丑」電影，因為它背離了小丑這個角色混亂且無法預知的本質，給了小丑一個悲劇性但可追根溯源的原因。但這並不妨礙本片成為一部好電影，這是一部脫離了超級英雄般超現實主義的犯罪電影，無時無刻不在對觀眾進行mind fuck，直到最後集體高潮。杰昆·菲尼克斯獨特的表演賦予了這個小丑充滿矛盾与痛苦的悲劇性的藝術人格，我已經可以預見他橫掃頒獎季的場面了。正如犯罪經典《出租車司機》一樣，《小丑》是...
还行	,第一次觉得一个大家都捧的片不好看。因为一切都看起来太刻意了，刻意秀演技，刻意把一些巧合放在小丑身上，再加上一点美国精神病人的影子。 所以随机杀了几个社会精英，发表一通演讲就能引发社会动荡？ 那杀了蝙蝠侠爸妈的那个人不早就成名了？ 托马斯韦恩也被塑造成一个毫无怜悯，对一个loser动粗的人。实话就是，有点莫名其妙。
推荐	,婚姻劝退指南。
力荐	,拿了伍迪·艾伦的剧本，但小老头绝不会写出这么笑中带泪的结局。从纽约到洛杉矶，从一见钟情到咬牙切齿到互相凌迟到精疲力尽，离婚如同一场风暴过境，将所有心存善念的点滴化成冰雨。能够平静做成前夫妻的万中无一，讽刺的是——他们需要比经营婚姻还努力的经营离婚才行。我的年度最佳两性电影。
力荐	,诺亚·鲍姆巴赫重回《弗兰西斯·哈》的巅峰之作，从第一场戏让人嘴角不停上扬的“What I love about XXX”到影片结尾，137分钟的丰满剧作穿插了无数的细节，笑点和直击内心的对白，真的很想到这个男人的脑子里面看看他到底是如何写出这些可爱的人物、尖刻的对白以及那些尴尬和笑点并存的戏，寡姐和凯洛·伦这一对迸发出的火花几乎手拿把攥的双双奥斯卡提名，而影片中最好的一段独白还是来自劳拉·邓恩，今...
推荐	,#2019威尼斯第三场#此片过于真实，请谨慎观影。很简单的生活场景，交代东西仿佛每个人都有所经历。关系中的彼此看不见、付出与妥协、丧偶式育儿、吵到开始互骂对方祖宗八代、砸墙摔东西，但真到离别之时，又有一丝怀念，觉得没有好好告别…大概相爱相杀，这就是爱情吧。为司机的演技打call
推荐	,爱情中无法完满的种种，吵架戏十分精彩，当然关于“完美母亲”和“像上帝一样不在场的父亲（甚至不用f*ck呢）的讨论更甚。结尾确实好哭，虽然不能在一起，但想起来深爱的感觉还是会流泪😭（片头亮出Netflix的大红N时全场鼓掌，不知道在戛纳出现会不会被嘘）
力荐	,片子本身四星半吧，出于情感还是给了五星，最后太伤感了。其实这是一部老年人心态的黑帮片，相比马丁之前的黑帮作品，少了狠辣，多了些温柔与情义，以及一个时代逝去之后的感伤。片子节奏很慢，入戏更慢，前面各种铺线索，差不多一个多小时之后才真正入戏。最后一小时才真正精彩，有犯罪的紧张感，还有最后的感伤。“找我的律师”“他死了”“谁干的”“癌症”。这样的台词，真是笑过之后又难过得想哭。能重看罗伯特德尼罗、阿尔帕...
力荐	,不出所料，整体气质与Goodfellas和Casino一脉相承：又一部黑帮史诗，3个半小时的片长一点都不觉得拖沓。但对于年近八旬的斯科塞斯来说，有了更多的惆怅和内省。而能再次看到帕西诺、佩西、德尼罗同台飙戏，尤其是在减龄特效的帮助下，简直就是视觉享受
还行	,首先值得肯定的是演员们都是戏骨 演技出色 不过虽然用了特效把70岁老人还原年轻了 但是看起来还是岁数很大 有违和感 三个半小时真的应该拆分成两部上映 反正我是有一段坐着睡着了 美国历史对于国内观众来说带入感不强 所以得认真看才能看出名堂 如果以后有空再仔细看一遍 再来改评价吧
力荐	,09/28#NYFF 电影黄金时代和黑帮曾经风云的挽歌。活着等这部真好。这大概是世上演技密度最高的电影，这些人的对手戏，这样的表演这样的化学反应，不会再有了。（以及我为decino场合流干眼泪 ｜11/01#院线 一刷时太受刚读完的原著影响，十分遗憾Frank的刻画有太多缺失，此番sink in之后，深感这些人物的原本面貌已经不那么重要，毕竟那些情仇血泪没人再懂，褪色的照片在生者看来也不过是一群似...
力荐	,和《好莱坞往事》一样，开场配乐响起就把人吸进去了，三人表演不分伯仲——肯尼迪遇刺后帕西诺的面部表情变化；德尼罗得知被派遣坐飞机去底特律后的凝神；见面后第一句台词便对德尼罗形成气场压制的乔·佩西；四人谈判时依靠对白传递出的剑拔弩张…以上皆是表演上的高光时刻。家庭，权力，背叛，悔恨，斯科塞斯并不回避过往作品中常见元素，仍完成了对弗兰克·希兰这一人物传奇且悲情的刻画。铁三角自然不再像上世纪那样风华正茂，...
推荐	,经历过校园霸凌的人很难走出来，但可以在电影里好好哭一场
还行	,虽然但是 高三不收手机吗
力荐	,恶意就是这样的，无端的针对一个人，即使别人没有做错什么。
力荐	,不是每个陈念都能遇上愿意用所有未来去保护她的小北，但希望每个陈念都能像雨后的小雏菊一样，在角落里坚强绽放。那些打不倒我们的使我们更坚强。
力荐	,比较触动我的是易烊千玺的演技，这绝对是一个“剧抛脸”，完全没有《长安十二时辰》中腹黑小狐狸李泌的影子，在这里是一个叛逆变拗高冷，但是却一心一意对念念好的男孩子，他的眼神让我看见了一种执着的爱，而不是一种甜甜的喜欢，这很重要，因为这部电影的主题是两个孤独的人相互依托，共同成长的故事，眼神应该是一种超脱于喜欢之外的感觉，四字弟弟把这种感觉演了出来，可塑性很强。且小北是一个层次性很强的角色，外冷内热，通...
还行	,哇靠这个炫技，真假史密斯的打架CG都不说了，这是一部三分之二的时间里都是弱光场景的3D电影，它不仅有120帧、甚至还有慢镜头的120帧（但整个荷兰也没有一块4K 120帧银幕，我看的只是2K 60帧。有些场景十分惊艳，例如大范围的海水、此刻尽丝滑的高速动作戏乃至摩托车上的第一人称视角镜头，令人感叹科技真的拓展了影像语言的可能性。只是这种新颖的表达的效果还十分有限，剧本和台词与其说是意料之中的烂（父...
推荐	,不管什么样的故事，只要到了李安导演手里，都会变成李安的故事，这次讲的是“每个人都希望有再年轻一次的机会”，李安对电影整体的节奏掌控又是教科书级别！导演这次的野心不在故事上，而是继续在探索高清数字电影未来的某种可能性上，心思在新技术的尝试上，再次使用了120帧、4K、3D的高规格，和传统电影完全不一样的拍法，动作戏、摄影和打光等都有不一样的尝试，拿技术和特效为叙事服务，不是用技术打造夸张的视觉奇观，...
力荐	,父子伦理与时间年轮的点水探讨是习惯性策略表达，类型元素是骨骼支撑，几场动作戏继续“比利·林恩”中例如演唱会段落、战争段落等用以测试探索全新视觉革新下的场面调度、画面美学和空间运动的重置标准，是真正起点，好比那只蜜蜂，服务于主角体质制造戏剧功能倒是其次，更多的作用其实等同于比利·林恩回家后房间中的那只苍蝇。各种更加丰富的多焦点长纵深置景，光线、建筑、植被、灰尘、枪火、影子、水波都开始参与对故事情节注...
推荐	,参加了全球最早观影，憋了一礼拜，还是说点啥吧。就是大家真的都被土土的首款预告唬了，至少动作戏很过得去，三场重要打戏也是围绕李安至今不能肃清的俄狄浦斯情结来操作的（真以为他翻篇了然而并没有）。摩托战是儿子对父权的挑衅，全程TV Game范儿，就有种你丫小时候不让我打游戏我长大靠电竞赚了钱气死你的感觉，这不全是比喻，长镜头运镜，主客视角切换，确实很主机思维；第二场，教堂地窖的CQC格斗，父子正式摊牌，...
力荐	,李安导演正在用激进的技术和优雅的气质拓展着「电影」的边界。在电影艺术和技术已经高度发达的当下，还能拓展甚至重新定义电影的边界，本身就已经值得我们格外鼓励了。而《双子杀手》在激进的技术革命同时，也没有放弃电影的叙事传统。对于一部在技术上如此激进的电影来说，狭义上的「故事」在这部「电影」中的占比是远低于传统电影的。或者说，这部电影在「讲什么故事」这件事情上，远远没有「如何讲这个故事」重要。「故事」作为...
推荐	,最佩服的是在无配乐的情形下将暧昧和试探拍到了颤人心弦的高度，两个演员之间的微表情做到了极致，不拿影后是世纪冤案。
力荐	,最后那一幕，不就是正在影院无声流泪的自己吗。看与被看之间，皆是情欲，皆是妄念。再次印证，深情即是一场悲剧。
推荐	,篝火阿卡贝拉 人群中对望 迟来的吻 油画 无男性乌托邦的崩塌 四季四季！被一切设计精准打击 恋爱 一场热病（并且美丽女孩没有剃腋毛！fascinated 
力荐	,#Cannes19# Celine是那位从没让我失望过的导演，看过这个彻底爱上Adele Haenel了。拍的无比的细腻，绝不是某某的女版。
推荐	,摄影真是突出，自然光和烛光的内景戏，美到不行。甚至外景也很漂亮。同时。阿黛尔的表演也很棒。故事胜在情感细腻真挚
还行	,一如既往有让人非常不舒服的种族和性别问题。昆汀跟波兰斯基关系很好吧，这意淫都让人有点感动了。但是他跟李小龙到底什么仇什么怨，那满满的恶意都要溢出来了…
还行	,很平铺直叙的无聊故事。演技确实爆棚。 还有为什么非要丑化李小龙？亚洲男人在美国还不够惨吗？
推荐	,大概是一部对影迷有着极高知识储备要求的电影，的确堪比泛影史意义上的终极之战。备考不足如我，仅看最后三十分钟也是酣畅淋漓的，就是前面梗若接不住大概就会酿成不少尿点，以及直觉上李小龙段落反而在内地或有风险。
较差	,导演对李小龙有偏见吗？把他塑造成这样
推荐	,看到最后半小时才确定，这仍然是我们最熟悉的那个狂想天才昆汀，在酣畅淋漓之下铺一层温柔的底色，也难怪他要防剧透。小李和皮特这对片中好基友都很可爱，带着我们像孩子一样游历在1969那个放荡无序、礼崩乐坏、焦虑又美好的年代。很多梗，很多美足，很多老朋友，很出彩的表演，期待能被热烈讨论的那一天，可能会稍有点影迷门槛。小李癫狂可爱依旧，皮特让我又找回了初中对他心动的感觉。
力荐	,中传校报女记者采访王小帅，竟被吴秀波诱拐回家。东城区富二代甩云南女友，因喜爱雾霾胜过蓝天白云。
还行	,巴黎，巴塞罗那，罗马，麦哈顿，开罗，纽约，老爷子天天在西半球溜达。东半球不让你拍咋滴？
推荐	,只需要两个连续的雨天，就能重塑一段感情。轻巧而慵懒的小布尔乔亚情调，没什么比伍迪·艾伦拍喜剧更让人心旷神怡的了。有人喜欢听蟋蟀鸣唱，有人喜欢闻汽车尾气，作为一个两周前才从纽约回来的人表示——我喜欢纽约的雨。
推荐	,我以为我已经对Woody Allen免疫了 但没想到这部片还是给了我惊喜 / 甜茶不愧是甜茶 配得了意大利的阳光 也衬得起纽约的雨 弹钢琴唱歌那段好迷人！@SummerIFF
推荐	,年轻人早就写好了自己的故事 只是等一个时机 #SoiréePositif09/07/2019 巧遇流体力学老师…
推荐	,这么多神仙颜值的人儿聚在一起太画美不看了。虽然是皆大欢喜的结局但还是心塞了，毕竟初恋才是白月光啊！甜茶和罗南太青春洋溢了，银幕上全是胶原蛋白的气息。当女性不再通过抗拒爱情来证明独立，这样的社会只算具备基本的公平吧...
力荐	,最喜欢的一段戏是甜茶和罗南在party上相遇，我不爱社交，你的裙子坏了，我们躲在外面也可以快乐的跳舞，那时候真好啊，一切都不如跳舞。
力荐	,"逃过了荷兰弟，逃不过甜茶
甜茶的片段引发的全场惊叹是最多的"
推荐	,看到有友邻这么评价这个故事，觉得非常恰当。“当一个女性不再通过抗拒婚姻来表达独立和自由的时候，这样的这个社会才算达到基本的公平吧。” 卡司们都非常棒，青春无敌，虽然非线性叙事有一点overcomplicate整个故事，整体感觉还是很轻快。
力荐	,之前去美国住在homestay，和美国家庭聊天，听说小妇人、麦田守望都是美国学生必读书目。看过94版的little woman，对马奇家的温暖气氛无比向往，后来曾体验住在美国接待家庭里一起吃苹果派一起玩儿Marble的温馨时刻。2019年版，有Ronan，有Emma，有梅姨，映后大家雷鸣般的掌声，真的都是喜爱和赞赏。Ronan演出了我想象中的书卷气的Joe，外貌不惊艳但是她就是那个不负爱与自由的帅...
